/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
22230323	Chu	22230323	GRASP 2.0		50		Statin-Induced reductions in C-Reactive Protein	Drug response;Quantitative trait(s);CVD risk factor (CVD RF);Lipids;C-reactive protein (CRP);Blood-related	1/9/12	n	Circ Cardiovasc Genet	Pharmacogenetic determinants of statin-induced reductions in C-reactive protein.		n	n	6766 European ancestry samples	NR	"Illumina[6,800,000](imputed)"	European	6766	6766	6766																																		
22232737	Shu	22232737	GRASP 2.0		105		Breast cancer survival	Cancer;Breast cancer;Mortality;Gender;Female	1/9/12	y	Cancer Res	Novel Genetic Markers of Breast Cancer Survival Identified by a Genome-Wide Association Study.		y	y	"1,950 Chinese cases"	"4,160 Chinese cases"	"Affymetrix [613,031]"	Asian	6110	1950			1950										4160			4160																			
22233651	Kwak	22233651	GRASP 2.0		66		Type II Diabetes Mellitus (gestational diabetes)	Type 2 diabetes (T2D);CVD risk factor (CVD RF);Gender;Female;Pregnancy-related	1/10/12	y	Diabetes	A genome-wide association study of gestational diabetes mellitus in Korean women.		y	y	"468 cases of Korean ancestry, 1,242 controls of Korean ancestry"	"931 cases of Korean ancestry, 783 controls of Korean ancestry"	"Affymetrix [2,188,613](imputed)"	Asian	3424	1710			1710										1714			1714																			
22233810	Barreiro	22233810	GRASP 2.0		35859	1	Gene expression in blood dendritic cells before and after exposure to Mycobacterium tuberculosis	Quantitative trait(s);Gene expression (RNA);Blood-related;Infection;Pulmonary;Tuberculosis	1/10/12	n	Proc Natl Acad Sci U S A	Deciphering the genetic architecture of variation in the immune response to Mycobacterium tuberculosis infection.		y	y	65 European ancestry male blood samples	NR	"Illumina[873,973]"	European	65	65	65																																		
22238471	Guergnon	22238471	GRASP 2.0		45		"HIV-1 non-progression (untreated, long term)"	Infection;HIV/AIDS;Blood-related	1/11/12	n	J Infect Dis	Single-nucleotide polymorphism-defined class I and class III major histocompatibility complex genetic subregions contribute to natural long-term nonprogression in HIV infection.		n	n	"144 white HIV-1 infected LTNP, 605 HIV-1infected white seroconverters"	NR	Unspecified [NR]	European	749	749	749																																		
22238593	Palmer	22238593	GRASP 2.0		227		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	1/4/12	y	PLoS One	A genome-wide association search for type 2 diabetes genes in African Americans.		n	n	"965 African American ancestry cases, 1,029 African American ancestry controls"	"2,167 African American ancestry cases, 2,288 African American ancestry controls"	"Affymetrix [832,357]"	African	6449	1994		1994											4455		4455																				
22239941	Png	22239941	GRASP 2.0		251		Tuberculosis	Infection;Pulmonary;Tuberculosis	1/13/12	y	BMC Med Genet	A genome wide association study of pulmonary tuberculosis susceptibility in Indonesians.		n	n	"108 Indonesian ancestry cases, 115 Indonesian ancestry controls"	"600 Indonesian ancestry cases, 540 Indonesian ancestry controls, 1,837 European ancestry cases, 1,779 European ancestry controls"	"Affymetrix [95,207]"	Mixed	4979	223												223	4756	3616											1140										
22247754	Murray	22247754	GRASP 2.0		8		Implantable cardioverter-defibrillator activation with life-threatening arrhythmias	Treatment response;Surgery;Heart;Cardiovascular disease (CVD);Myocardial infarction (MI)	1/11/12	y	PLoS One	Genome-wide association of implantable cardioverter-defibrillator activation with life-threatening arrhythmias.		n	n	"607 European ancestry cases, 297 European ancestry controls"	NR	Illumina [~2 million] (imputed)	European	904	904	904																																		
22258532	Sapkota	22258532	GRASP 2.0		45		Breast cancer	Cancer;Breast cancer;Gender;Female	1/18/12	n	Eur J Hum Genet	A two-stage association study identifies methyl-CpG-binding domain protein 2 gene polymorphisms as candidates for breast cancer susceptibility.		y	y	"302 cases, 321 controls Caucasian"	"1178 cases, 1314 controls"	"Affymetrix[782,838]"	European	3115	623	623												2492										2492												
22267200	Gudmundsson	22267200	GRASP 2.0		58		Low thyroid-stimulation hormone (TSH) levels and thyroid cancer	Cancer;Thyroid cancer;Thyroid;Hormonal;Quantitative trait(s)	1/22/12	y	Nat Genet	Discovery of common variants associated with low TSH levels and thyroid cancer risk.		n	n	"27,758 European ancestry individuals"	"1,156 European ancestry cases, Up to 42,617 European ancestry controls"	Illumina [~16 million] (imputed)	European	71531	27758	27758												43773	43773																					
22267201	Stolk	22267201	GRASP 2.0		112		Age at menopause	Developmental;Aging;Reproductive;Gender;Female;Menopause	1/22/12	y	Nat Genet	Meta-analyses identify 13 loci associated with age at menopause and highlight DNA repair and immune pathways.		y	y	"38,968 European ancestry women"	"Up to 14,435 European ancestry women"	"Affymetrix & Illumina [2,551,160] (imputed)"	European	53403	38968	38968												14435	14435																					
22267851	Nicoletti	22267851	GRASP 2.0		14		Bisphosphonate-related osteonecrosis of the jaw	Drug response;Oral-related;Bone-related;Dental;Adverse drug reaction (ADR)	1/20/12	n	Oncologist	Genomewide pharmacogenetics of bisphosphonate-induced osteonecrosis of the jaw: the role of RBMS3.		n	n	"30 cases and 1,743 controls white European"	?	"Illumina[3,542,142] (imputed)"	European	1773	1773	1773																																		
22279548	Sebastiani	22279548	GRASP 2.0		281		Longevity	Aging;Mortality	1/18/12	y	PLoS One	Genetic signatures of exceptional longevity in humans.		n	n	"801 European ancestry long-living individuals, 914 European ancestry controls"	"292 European ancestry long-living individuals, 21 long-living individuals, 867 controls"	"Illumina [243,980]"	European	2895	1715	1715												1180	292									888												
22286170	Cusanovich	22286170	GRASP 2.0		497		Blood cell count (lymphocyte count) and gene expression	Quantitative trait(s);Blood-related;Immune-related;Gene expression (RNA);Cell line	1/27/12	y	Hum Mol Genet	The combination of a genome-wide association study of lymphocyte count and analysis of gene expression data reveals novel asthma candidate genes.		n	n	462 Hutterite individuals	NR	"Affymetrix [279,749]"	European	462	462	462																																		
22286173	Low	22286173	GRASP 2.0		43		Intracranial aneurysm	Quantitative trait(s);Neuro;Stroke;Cardiovascular disease (CVD)	1/27/12	y	Hum Mol Genet	Genome-wide association study for intracranial aneurysm in the Japanese population identifies three candidate susceptible loci and a functional genetic variant at EDNRA.		n	n	"1,383 Japanese ancestry cases, 5,484 Japanese ancestry controls"	"1,048 Japanese ancestry cases, 7,212 Japanese ancestry controls"	"Illumina [565,149]"	Asian	15127	6867			6867										8260			8260																			
22286212	Urayama	22286212	GRASP 2.0		36		Lymphoma (Hodgkin's lymphoma and Epstein-Barr virus status-defined subgroups)	Cancer;Blood-related;Blood cancer;Leukemia;Lymphoma	1/27/12	y	J Natl Cancer Inst	Genome-wide association study of classical Hodgkin lymphoma and Epstein-Barr virus status-defined subgroups.		n	n	"1,200 European ancestry cases, 6,417 European ancestry controls"	"563 European ancestry cases, 613 European ancestry controls"	"Illumina [502,514]"	European	8793	7617	7617												1176	1176																					
22286219	Kettunen	22286219	GRASP 2.0		14050	1	"Metabolites, in serum"	Quantitative trait(s);Blood-related;Serum	1/29/12	y	Nat Genet	Genome-wide association study identifies multiple loci influencing human serum metabolite levels.		n	n	"8,330 European ancestry individuals"	NR	Illumina [~7.7 million] (imputed)	European	8330	8330	8330																																		
22290723	Ryu	22290723	GRASP 2.0		52		"Hemoglobin (HbA1c, glycated hemoglobin levels)"	Quantitative trait(s);Blood-related	1/30/12	y	Hum Mutat	Association of glycosylated hemoglobin with the gene encoding CDKAL1 in the Korean Association Resource (KARE) study.		n	n	"4,275 Korean ancestry individuals"	"3,782 Korean ancestry individuals"	"Affymetrix [1,693,116] (imputed)"	Asian	8057	4275			4275										3782			3782																			
22291604	Okada	22291604	GRASP 2.0		29		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	1/26/12	y	PLoS Genet	A genome-wide association study identified AFF1 as a susceptibility locus for systemic lupus eyrthematosus in Japanese.		n	n	"891 Japanese ancestry cases, 3,384 Japanese ancestry controls"	"1,387 Japanese ancestry cases, 28,564 Japanese ancestry controls"	"Illumina [430,797]"	Asian	32444	2493			2493										29951			29951																			
22291609	Naitza	22291609	GRASP 2.0		262		"IL-6, erythrocyte sedimentation rate, MCP-1, C-reactive protein (CRP) "	Inflammation;Quantitative trait(s);Cardiovascular disease (CVD);C-reactive protein (CRP);Blood-related	1/26/12	y	PLoS Genet	A genome-wide association scan on the levels of markers of inflammation in Sardinians reveals associations that underpin its complex regulation.		n	n	"4,694 European ancestry individuals"	"1,392 European ancestry individuals"	Affymetrix [~1.9 million] (imputed)	European	6086	4694	4694												1392	1392																					
22293537	Kiyotani	22293537	GRASP 2.0		102		Hematological toxicities in cancer patients receiving gemcitabine therapy	Drug response;Adverse drug reaction (ADR);Blood-related;Cancer;Pancreatic cancer;Pancreas;Lung cancer;Pulmonary	1/29/12	y	Pharmacogenet Genomics	A genome-wide association study identifies four genetic markers for hematological toxicities in cancer patients receiving gemcitabine therapy.		n	n	"21 Japanese ancestry adverse reaction cases, 58 Japanese ancestry non-adverse reaction individuals"	"33 Japanese ancestry adverse reaction cases, 62 Japanese ancestry non-adverse reaction individuals"	"Illumina [470,064]"	Asian	174	79			79										95			95																			
22293688	Huang	22293688	GRASP 2.0		4		"Multiple traits (bipolar disorder, coronary artery disease, Crohn's disease, rheumatoid arthritis, T1D, T2D, hypertension)"	Cardiovascular disease (CVD);Myocardial infarction (MI);Neuro;Behavioral;Bipolar disorder;Blood pressure;CVD risk factor (CVD RF);Blood-related;Type 1 diabetes (T1D);Type 2 diabetes (T2D);Developmental;Arthritis;Rheumatoid arthritis;Crohn's disease	2/1/12	y	Eur J Hum Genet	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.		n	n	"16,179 European ancestry individuals"	NR	"Affymetrix [6,233,112] (imputed)"	European	16179	16179	16179																																		
22295056	Christie	22295056	GRASP 2.0		28574		Acute lung injury following major trauma	Pulmonary;Wound	1/25/12	y	PLoS One	Genome wide association identifies PPFIA1 as a candidate gene for acute lung injury risk following major trauma.		n	n	"600 European ancestry cases, 2,266 European ancestry controls"	"212 European ancestry cases, 283 European ancestry controls"	"Illumina [2,487,415] (imputed)"	European	3361	2866	2866												495	495																					
22306650	Thye	22306650	GRASP 2.0		50		Tuberculosis	Infection;Pulmonary;Tuberculosis	2/5/12	y	Nat Genet	Common variants at 11p13 are associated with susceptibility to tuberculosis.		n	n	"1,329 Ghanaian cases, 1,847 Ghanaian controls"	"817 Ghanaian cases, 3,805 Ghanaian controls, 1,207 Gambian cases, 1,349 Gambian controls, 1,025 Indonesian cases, 983 Indonesian controls, 4,441 Russian cases, 5,874 Russian controls"	"Affymetrix [793,964]"	Mixed	22677	3176		3176											19501	10315	7178										2008										
22306652	Bellenquez	22306652	GRASP 2.0		49		"Stroke, large vessel ischemic"	Cardiovascular disease (CVD);Neuro;Stroke	2/5/12	y	Nat Genet	Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke.		n	n	"3,548 European ancestry cases, 5,972 European ancestry controls"	"6,594 European ancestry cases, 34,864 European ancestry controls"	"Illumina [495,851]"	European	50978	9520	9520												41458	41458																					
22306654	Feenstra	22306654	GRASP 2.0		308		Infantile hypertrophic pyloric stenosis	Gastrointestinal;Developmental	2/5/12	y	Nat Genet	Common variants near MBNL1 and NKX2-5 are associated with infantile hypertrophic pyloric stenosis.		n	n	"1,001 European ancestry cases, 2,401 European ancestry controls"	"796 European ancestry cases, 876 European ancestry controls"	"Illumina [523,420]"	European	5074	3402	3402												1672	1672																					
22310351	Fernandez-Rozadilla	22310351	GRASP 2.0		53		Toxicity after 5-fluorouracil or FOLFOX administration for colorectal cancer	Drug response;Adverse drug reaction (ADR);Cancer;Colorectal cancer	2/7/12	y	Pharmacogenomics J	Pharmacogenomics in colorectal cancer: a genome-wide association study to predict toxicity after 5-fluorouracil or FOLFOX administration.		n	n	203 European ancestry cases	791 European ancestry cases	"Affymetrix [497,366]"	European	994	203	203												791	791																					
22310353	Man	22310353	GRASP 2.0		89		Treatment responses in severe sepsis	Infection;Inflammation;Mortality;Blood-related	2/7/12	y	Pharmacogenomics J	Beyond single-marker analyses: mining whole genome scans for insights into treatment responses in severe sepsis.		n	n	"1,446 individuals"	NR	"Illumina [856,627]"	Mixed	1446	1446									1446																										
22318345	Cha	22318345	GRASP 2.0		143		Gallbladder cancer	Gastrointestinal;Cancer;Gallbladder cancer	2/9/12	y	J Hum Genet	A genome-wide association study identifies SNP in DCC is associated with gallbladder cancer in the Japanese population.		n	n	"41 Japanese ancestry cases, 866 Japanese ancestry controls"	"30 Japanese ancestry cases, 898 Japanese ancestry controls"	"Illumina [425,706] (imputed)"	Asian	1835	907			907										928			928																			
22319020	Davies	22319020	GRASP 2.0		37		Coronary artery disease	Cardiovascular disease (CVD);Myocardial infarction (MI)	2/7/12	y	Circ Cardiovasc Genet	A Genome Wide Association Study for Coronary Artery Disease Identifies a Novel Susceptibility Locus in the Major Histocompatibility Complex.		n	n	"7,123 European ancestry cases, 6,826 European ancestry controls"	"5,211 European ancestry cases, 5,821 European ancestry controls"	Affymetrix [~5 million] (imputed)	European	24981	13949	13949												11032	11032																					
22321639	Pyun	22321639	GRASP 2.0		10		Premature ovarian failure	Reproductive;Aging;Gender;Female	2/7/12	y	Maturitas	LAMC1 gene is associated with premature ovarian failure.		y	y	"24 cases, 24 controls"	"98 cases, 218 controls"	"Illumina [109,365]"	Asian	364	48			48										316			316																			
22322875	Kim	22322875	GRASP 2.0		18		Hypertension with short sleep duration	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF);Neuro;Sleep	2/9/12	y	Circ J	Genetic association of short sleep duration with hypertension incidence.		n	n	"4,965 Korean ancestry individuals"	NR	"Affymetrix [334,750]"	Asian	4965	4965			4965																																
22323360	Abnet	22323360	GRASP 2.0		46		Esophageal cancer (esophageal squamous cell carcinoma)	Cancer;Skin-related;Esophageal cancer	2/8/12	n	Hum Mol Genet	Genotypic variants at 2q33 and risk of esophageal squamous cell carcinoma in China: a meta-analysis of genome-wide association studies.		n	n	2961 ESCC Han Chinese cases and 3400 controls	NR	"Illumina [~34,275]"	Asian	6361	6361			6361																																
22325160	Saxena	22325160	GRASP 2.0		74		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	2/8/12	n	Am J Hum Genet	Large-scale gene-centric meta-analysis across 39 studies identifies type 2 diabetes loci.		n	n	14073 cases and 57489 controls	"8130 EA cases, 38987 EA controls;1986 African-Amer cases, 7695 African-Amer controls; 592 Hispanic cases, 1410 Hispanic controls; 767 Asian cases, 3704 Asian controls"	"Illumina [~50,000]"	Mixed	134833	71562										71562			63271	47117	9681	4471		2002																	
22327514	Postel-Vinay	22327514	GRASP 2.0		14		Ewing sarcoma	Cancer;Bone-related;Developmental	2/12/12	y	Nat Genet	Common variants near TARDBP and EGR2 are associated with susceptibility to Ewing sarcoma.		n	n	"Up to 427 European ancestry cases, Up to 4,352 European ancestry controls"	"661 European ancestry cases, 1,299 European ancestry controls"	"Illumina [286,966]"	European	6739	4779	4779												1960	1960																					
22331829	Chasmin	22331829	GRASP 2.0		36		Response to statins	Drug response;Quantitative trait(s);CVD risk factor (CVD RF);Lipids	2/13/12	y	Circ Cardiovasc Genet	Genetic Determinants of Statin Induced LDL-C Reduction: The JUPITER Trial.		n	n	"6,989 European ancestry individuals"	NR	"Illumina [814,418]"	European	6989	6989	6989																																		
22341974	Paternoster	22341974	GRASP 2.0		214		Nasion Position	Nasal;Anthropometric;Quantitative trait(s)	2/16/12	y	Am J Hum Genet	Genome-wide Association Study of Three-Dimensional Facial Morphology Identifies a Variant in PAX3 Associated with Nasion Position.		n	n	"2,185 European ancestry adolescents"	"1,622 European ancestry adolescents"	"Illumina [2,543,887] (imputed)"	European	3807	2185	2185												1622	1622																					
22342860	Marjamaa	22342860	GRASP 2.0		2		"ECG (Electrocardiogram measurements), T-Peak to T-End interval"	Quantitative trait(s);Heart	2/15/12	y	Heart Rhythm	A common variant near the KCNJ2 gene is associated with T-peak to T-end interval.		n	n	"1,870 Finnish ancestry individuals"	"3,745 European ancestry individuals"	"Illumina [541,864]"	European	5615	1870	1870												3745	3745																					
22343285	Bakken	22343285	GRASP 2.0		13		Visual cortical surface area	Neuro;Imaging;Quantitative trait(s);Eye-related	2/16/12	y	Proc Natl Acad Sci U S A	Association of common genetic variants in GPCPD1 with scaling of visual cortical surface area in humans.		n	n	421 European ancestry individuals	760 European ancestry individuals	"Affymetrix [597,198]"	European	1181	421	421												760	760																					
22344219	Wen	22344219	GRASP 2.0		60		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	2/19/12	y	Nat Genet	Meta-analysis identifies common variants associated with body mass index in east Asians.		n	n	"7,739 Chinese ancestry individuals, 2,194 Japanese ancestry individuals, 8,838 Korean ancestry individuals, 2,522 Malay ancestry individuals, 1,999 Han Chinese ancestry individuals, 1,992 Singapore Chinese individuals, 2,431 Chinese, Malay and Asian Indian individuals"	"34,799 Japanese ancestry individuals, 14,628 Chinese ancestry individuals, 1,006 Singapore Chinese individuals, 2,782 Han Chinese ancestry individuals, 2,118 Malay ancestry individuals"	"Affymetrix & Illumina [2,474,474] (imputed)"	Asian	83028	27715			27715										55313			55313																			
22344221	Okada	22344221	GRASP 2.0		32		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	2/19/12	y	Nat Genet	Common variants at CDKAL1 and KLF9 are associated with body mass index in east Asian populations.		n	n	"26,620 Japanese ancestry individuals"	"7,910 Japanese ancestry individuals, 27,715 East Asian individuals"	"Illumina [2,178,018] (imputed)"	Asian	62245	26620			26620										35625			35625																			
22354554	Thompason	22354554	GRASP 2.0		211		Arthritis (juvenile idiopathic arthritis)	Inflammation;Rheumatoid arthritis;Arthritis;Developmental	2/21/12	y	Arthritis Rheum	Genome-wide association analysis of juvenile idiopathic arthritis identifies a new susceptibility locus at chromosomal region 3q13.		n	n	"814 European ancestry cases, 658 European ancestry controls and 2,400 controls"	"1,744 European ancestry cases, 7,010 European ancestry controls"	"Affmyetrix [561,137]"	European	12626	3872	3872												8754	8754																					
22359512	Demirkan	22359512	GRASP 2.0		915	1	Circulating phospho- and sphingolipid concentrations	Quantitative trait(s);Blood-related;Plasma;Lipids	2/16/12	y	PLoS Genet	Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.		n	n	"4,034 European ancestry individuals"	NR	Illumina [~2 million] (imputed)	European	4034	4034	4034																																		
22361517	Wassel	22361517	GRASP 2.0		17		Ankle-brachial index (ABI)	Quantitative trait(s);Cardiovascular disease (CVD);CVD risk factor (CVD RF);Subclinical CVD	2/2/12	n	Atherosclerosis	Genetic determinants of the ankle-brachial index: a meta-analysis of a cardiovascular candidate gene 50K SNP panel in the candidate gene association resource (CARe) consortium.		n	n	"21,550 EA and 7,267 African-American individuals"	"15,440 EA individuals"	"Illumina [~55,000]"	Mixed	44257	28817	21550	7267											15440	15440																					
22362730	Galichon	22362730	GRASP 2.0		49		Gender	Gender;Male;Female	2/22/12	n	Nucleic Acids Res	Unrecognized sequence homologies may confound genome-wide association studies.		y	n	642 individuals	NR	"Illumina, Affymetrix, & HapMap [~2.4 million]"	Unspecified	642	642										642																									
22362864	Limou	22362864	GRASP 2.0		3		HIV-1 acquisition	Infection;HIV/AIDS;Blood-related	2/23/12	n	J Infect Dis	Multicohort genomewide association study reveals a new signal of protection against HIV-1 acquisition.		n	n	764 HIV-1seropositive and 1073 HIV-1seronegative individuals European descent	"1,739 HIV-1seropositive and 1,397 HIV-1seronegative individuals European descent"	"Illumina [269,962]"	European	4973	1837	1837												3136	3136																					
22362865	Knaapila	22362865	GRASP 2.0		5		Perception of the odorants androstenone and galaxolide	Nasal	2/23/12	y	Chem Senses	A Genome-Wide Study on the Perception of the Odorants Androstenone and Galaxolide.		n	n	"1,573 European ancestry young-adult twins and singleton siblings"	"200 European ancestry adult monozygous twin individuals, 26 European ancestry adult dizygous twin individuals"	Illumina [2.3 million](imputed)	European	1799	1573	1573												226	226																					
22365631	Greenwood	22365631	GRASP 2.0		166		Temperament in bipolar disorder	Neuro;Behavioral;Bipolar disorder	2/22/12	y	Biol Psychiatry	Genome-Wide Association Study of Temperament in Bipolar Disorder Reveals Significant Associations with Three Novel Loci.		n	n	"1,263 European ancestry cases and 1,434 European ancestry controls"	NR	"Affymetrix [703,012]"	European	2697	2697	2697																																		
22367438	Tao	22367438	GRASP 2.0		12		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	2/26/12	y	Hum Genet	Genome-wide two-locus epistasis scans in prostate cancer using two European populations.		y	y	"1,176 PCa cases and 1,101 controls"	"1,964 PCa cases and 3,172 controls"	"Illumina [509,916] (imputed)"	European	7413	2277	2277												5136	5136																					
22367966	Lin	22367966	GRASP 2.0		12		"Vitamin B12, in serum"	Quantitative trait(s);Blood-related;Serum	2/24/12	y	Hum Mol Genet	Genome-wide association study identifies novel loci associated with serum level of vitamin B12 in Chinese men.		n	n	"1,999 Han Chinese ancestry individuals"	"1,496 Chinese ancestry individuals"	"Illumina [1,940,245] (imputed)"	Asian	3495	1999			1999										1496			1496																			
22368281	Deshmukh	22368281	GRASP 2.0		36		Response to atorvastatin	Drug response;Quantitative trait(s);CVD risk factor (CVD RF);Lipids	2/24/12	y	J Lipid Res	Genome-wide association study of genetic determinants of LDL-c response to atorvastatin therapy: Importance of Lp(a).		n	n	"2,702 European ancestry individuals"	"2,550 European ancestry individuals"	Perlegen & Illumina [~2 million] (imputed)	European	5252	2702	2702												2550	2550																					
22371699	Liu	22371699	GRASP 2.0	1	0		Schizophrenia	Neuro;Behavioral;Schizophrenia	2/22/12	n	Front Hum Neurosci	An ICA with reference approach in identification of genetic variation and associated brain networks.		n	n	"48 SZ cases, 40 controls (72 EA, 10 AA, 4 Asian, 2 mixed)"	NR	"Illumina [272,808]"	Mixed	88	88	72	10	4						2																										
22377092	Wang	22377092	GRASP 2.0		82		Nicotine dependence	Neuro;Addiction;Smoking;CVD risk factor (CVD RF)	2/27/12	y	Drug Alcohol Depend	ANAPC1 and SLCO3A1 are associated with nicotine dependence: Meta-analysis of genome-wide association studies.		n	n	"1,079 European ancestry cases, 1,341 European ancestry controls"	"1,419 cases, 1,885 controls from 778 nuclear families"	"Illumina [818,866]"	European	5724	2420	2420												3304										3304												
22377632	Meyer	22377632	GRASP 2.0		117095		Transmission distortion	Gender;Male;Female;Reproductive	2/29/12	n	Genetics	Evaluating the evidence for transmission distortion in human pedigrees.		y	n	4728 offspring with both parents genotyped	NR	"Affymetrix & Illumina [353,116-538,138]"	European	4728	4728	4728																																		
